Sex,Year,Current_Course,SHS_Strand,First_Choice,Second_Choice,Third_Choice,Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,Same_Course,Different_Course
0,1,0,0,5,7,10,4,4,4,3,1,3,4,3,1,4,2,2,3,2,3,3,4,2,2,1,3,2,1,3,3,1,0
1,1,11,3,24,12,19,4,2,4,4,1,3,3,2,1,3,3,3,3,3,3,3,3,2,1,2,3,2,3,4,3,1,0
0,2,0,0,5,7,28,4,3,4,4,1,4,4,3,1,4,2,2,4,2,3,2,4,3,3,1,3,2,2,3,3,1,0
1,2,12,4,32,23,30,4,3,3,3,1,3,2,3,1,3,3,3,2,2,3,3,3,2,3,4,2,3,2,4,3,0,1
0,2,2,0,5,7,37,4,3,4,3,1,3,3,2,1,3,1,1,3,2,3,3,3,3,2,2,4,2,3,3,4,1,1
1,1,17,1,32,23,9,4,4,4,4,1,4,4,4,1,4,4,4,2,3,3,4,4,4,2,2,4,3,3,1,4,1,1
0,2,12,0,32,23,10,4,3,4,4,1,4,4,3,1,3,4,3,4,4,3,3,3,3,2,2,2,1,2,3,3,1,0
0,2,6,4,28,28,28,2,4,3,2,1,3,3,1,1,3,2,2,3,1,3,3,3,3,2,4,3,3,4,3,1,1,0
1,2,6,3,12,13,27,4,4,3,3,1,4,3,1,1,3,3,3,3,1,3,2,3,2,4,4,2,2,2,2,3,1,0
0,2,12,0,5,23,30,4,2,4,3,1,2,3,3,1,3,3,2,3,3,3,2,3,2,3,3,2,2,2,4,3,0,1
0,1,6,4,33,12,30,3,3,3,3,1,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,0,1
0,1,2,3,27,7,12,3,4,3,4,1,1,1,1,1,1,3,3,2,3,3,1,1,2,4,4,2,1,1,4,2,0,1
0,1,18,0,5,7,33,3,3,3,4,1,2,2,2,1,2,3,3,2,2,2,2,2,3,3,4,2,1,2,4,2,0,1
0,2,14,4,24,16,26,4,4,4,4,1,3,3,3,1,4,4,4,4,4,2,4,4,2,1,1,2,1,2,3,4,1,0
1,0,13,4,23,14,17,4,4,4,4,1,4,4,4,1,4,4,4,3,4,3,3,4,3,2,3,4,3,3,3,3,1,0
0,0,8,3,14,7,6,3,2,4,4,1,3,3,3,1,4,2,2,4,3,3,4,4,3,2,1,4,4,1,3,1,1,0
0,2,12,0,29,9,25,4,3,3,3,1,2,2,2,1,3,3,3,3,4,2,1,3,1,4,2,1,2,1,3,2,0,0
0,0,6,0,12,5,37,3,4,4,4,1,2,3,2,1,3,1,1,2,2,3,1,3,1,1,3,1,3,1,4,1,1,0
1,2,6,3,12,34,18,4,4,4,4,1,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,1,0
1,0,15,3,12,27,17,3,3,3,3,1,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,0
1,2,3,1,29,8,4,4,4,4,4,1,4,3,3,2,4,3,3,4,3,1,4,4,4,2,2,4,3,3,3,2,0,0
1,2,13,3,11,18,18,3,4,4,4,1,2,2,3,2,3,3,3,3,3,1,3,3,3,3,4,3,2,2,3,1,0,1
1,1,13,4,23,16,37,4,4,4,4,1,4,4,3,2,4,3,3,4,3,1,3,4,3,2,2,3,4,4,2,4,1,0
1,2,13,4,12,24,9,4,3,4,4,1,3,1,1,2,3,3,3,1,3,1,1,3,1,3,2,3,3,3,3,4,0,1
1,2,3,0,8,7,10,3,4,3,3,1,4,4,4,2,4,3,3,3,2,1,3,4,3,2,2,3,3,3,1,3,1,0
0,1,16,0,10,31,10,3,3,4,4,1,4,4,4,2,4,2,3,3,3,1,3,4,3,2,2,3,3,3,4,2,1,0
1,2,5,0,5,7,11,3,4,4,4,1,3,3,3,2,4,3,3,3,3,1,3,4,3,2,4,3,3,4,2,3,1,0
1,1,7,3,13,12,16,3,4,3,3,1,3,3,2,2,3,2,3,3,2,1,3,3,2,2,2,2,2,2,3,2,1,0
1,1,13,4,23,12,15,2,3,3,3,1,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,0
0,2,6,3,12,25,18,3,4,4,4,1,2,3,3,2,3,2,3,3,4,1,2,3,3,3,2,2,2,1,4,1,1,0
0,0,13,4,23,14,10,3,3,4,3,1,3,3,3,2,3,3,2,3,4,1,3,3,3,3,4,3,3,4,3,3,1,0
0,2,13,0,5,7,26,4,2,2,2,1,3,3,2,2,3,3,3,3,2,1,3,3,2,2,3,2,2,3,4,3,1,0
1,2,13,3,24,18,26,3,3,4,4,1,4,4,4,2,3,3,3,4,2,1,3,3,4,4,4,3,3,3,4,4,1,0
0,2,3,0,5,14,33,4,3,3,3,1,3,3,2,2,4,1,2,3,2,1,3,4,3,3,1,2,2,3,3,3,0,0
0,1,16,3,12,28,36,4,4,4,4,1,3,3,2,2,2,3,3,3,3,1,3,2,3,3,3,3,3,3,3,4,0,1
0,2,13,4,23,16,37,3,3,4,4,2,3,2,2,2,2,2,3,2,3,1,2,2,2,3,3,2,2,3,4,2,0,1
1,2,3,0,5,7,9,4,4,4,4,2,4,3,3,2,4,3,3,3,3,1,4,4,4,1,1,3,3,3,3,4,1,0
1,0,9,3,27,29,13,3,4,4,4,2,3,2,3,2,3,1,3,3,3,1,3,3,3,2,1,3,1,2,4,3,0,0
